Time[s], 通道 0, 通道 1
91.5454736, 0, 0
91.5464177, 0, 1
91.5464178, 0, 0
91.5464179, 0, 1
91.7456618, 1, 1
91.7458712, 0, 1
91.7459743, 1, 1
91.7461838, 0, 1
91.7462868, 1, 1
91.7466004, 0, 1
91.7468077, 1, 1
91.7470171, 0, 1
91.7471202, 1, 1
91.7473296, 0, 1
91.7474327, 1, 1
91.7478506, 0, 1
91.7505908, 0, 0
91.7515347, 0, 1
91.7515348, 0, 0
91.7515349, 0, 1
91.9506753, 1, 1
91.9508847, 0, 1
91.9509878, 1, 1
91.9511972, 0, 1
91.9513003, 1, 1
91.9516139, 0, 1
91.9518212, 1, 1
91.9520307, 0, 1
91.9521337, 1, 1
91.9523432, 0, 1
91.9524462, 1, 1
91.9528640, 0, 1
91.9556299, 0, 0
91.9565738, 0, 1
91.9565739, 0, 0
91.9565741, 0, 1
92.0556822, 1, 1
92.0561000, 0, 1
92.0562030, 1, 1
92.0566209, 0, 1
92.0568281, 1, 1
92.0572459, 0, 1
92.0573490, 1, 1
92.0578709, 0, 1
92.1606891, 1, 1
92.1608985, 0, 1
92.1610016, 1, 1
92.1612110, 0, 1
92.1613141, 1, 1
92.1616277, 0, 1
92.1618350, 1, 1
92.1620444, 0, 1
92.1621475, 1, 1
92.1623570, 0, 1
92.1624600, 1, 1
92.1628778, 0, 1
92.1656162, 0, 0
92.1665601, 0, 1
92.1665602, 0, 0
92.1665603, 0, 1
92.3657026, 1, 1
92.3659120, 0, 1
92.3660151, 1, 1
92.3662245, 0, 1
92.3663276, 1, 1
92.3666413, 0, 1
92.3668485, 1, 1
92.3670579, 0, 1
92.3671610, 1, 1
92.3673705, 0, 1
92.3674735, 1, 1
92.3678913, 0, 1
92.3706358, 0, 0
92.3715798, 0, 1
92.5707160, 1, 1
92.5709254, 0, 1
92.5710286, 1, 1
92.5712380, 0, 1
92.5713411, 1, 1
92.5716546, 0, 1
92.5718619, 1, 1
92.5720714, 0, 1
92.5721745, 1, 1
92.5723839, 0, 1
92.5724870, 1, 1
92.5729048, 0, 1
92.5756490, 0, 0
92.5765929, 0, 1
92.5765930, 0, 0
92.5765931, 0, 1
92.7757295, 1, 1
92.7759389, 0, 1
92.7760420, 1, 1
92.7762514, 0, 1
92.7763545, 1, 1
92.7766682, 0, 1
92.7768754, 1, 1
92.7770849, 0, 1
92.7771879, 1, 1
92.7773974, 0, 1
92.7775005, 1, 1
92.7779182, 0, 1
92.7806620, 0, 0
92.7816059, 0, 1
92.7816060, 0, 0
92.7816061, 0, 1
92.9807430, 1, 1
92.9809525, 0, 1
92.9810555, 1, 1
92.9812650, 0, 1
92.9813680, 1, 1
92.9816817, 0, 1
92.9818889, 1, 1
92.9820983, 0, 1
92.9822014, 1, 1
92.9824108, 0, 1
92.9825139, 1, 1
92.9829317, 0, 1
92.9856817, 0, 0
92.9866256, 0, 1
92.9866258, 0, 0
92.9866259, 0, 1
93.0857499, 1, 1
93.0862718, 0, 1
93.0864791, 1, 1
93.0866885, 0, 1
93.0868958, 1, 1
93.0874178, 0, 1
93.0876250, 1, 1
93.0879386, 0, 1
93.1907568, 1, 1
93.1909663, 0, 1
93.1910693, 1, 1
93.1912788, 0, 1
93.1913818, 1, 1
93.1916955, 0, 1
93.1919027, 1, 1
93.1921121, 0, 1
93.1922152, 1, 1
93.1924247, 0, 1
93.1925277, 1, 1
93.1929455, 0, 1
93.1956940, 0, 0
93.1966380, 0, 1
93.3957703, 1, 1
93.3959797, 0, 1
93.3960828, 1, 1
93.3962922, 0, 1
93.3963953, 1, 1
93.3967089, 0, 1
93.3969162, 1, 1
93.3971256, 0, 1
93.3972287, 1, 1
93.3974381, 0, 1
93.3975412, 1, 1
93.3979591, 0, 1
93.4007071, 0, 0
93.4016511, 0, 1
93.4016512, 0, 0
93.4016513, 0, 1
93.6007837, 1, 1
93.6009932, 0, 1
93.6010963, 1, 1
93.6013057, 0, 1
93.6014088, 1, 1
93.6017224, 0, 1
93.6019296, 1, 1
93.6021391, 0, 1
93.6022422, 1, 1
93.6024517, 0, 1
